CRSH_NUM,CAL_YR,EVNT_CRSH_DT,EVNT_CRSH_TM,DAYOWEEK,MANDIST,CONTYDOT,RDWYID,LOCMP,LOCNODE,LOCDIST,LOCMEACD,LOCDIRCD,EVNT_ON_RD_NM,EVNT_INTCT_RD_NM,DISTINTS,MEAINTCD,DIRINTCD,ROUTEID,USRTNO,CONTYDMV,DHSCTYNO,EVNT_CTY_PLCE_NM,EVNT_CTY_LMT_CD,ACCISEV,TYP_DR_ACDNT_CD,FRST_HARM_EVNT_CD,IMPCT_TYP_CD,FRST_HARM_LOC_CD,JCT_CD,INTCHG_CD,ACCSIDRD,ACCLANE,DHSRDSYS,TYPESHLD,INTCT_TYP_CD,RD_SRFC_COND_CD,LGHT_COND_CD,EVNT_WTHR_COND_CD,SCHL_BUS_REL_CD,WRK_ZONE_REL_CD,LOC_WTHN_ZONE_CD,WRK_ZONE_TYP_CD,WRK_PRSNT_CD,LAW_ENFRC_PRSNT_CD,FRST_RD_COND_CD,SCND_RD_COND_CD,THRD_RD_COND_CD,FRST_ENVRN_COND_CD,SCND_ENVRN_COND_CD,THRD_ENVRN_COND_CD,V1_TRAF_CTRL_CD,V2_TRAF_CTRL_CD,ALCINVCD,FAHWYSYS,FUNCLASS,CRRATECD,RDACCESS,PLACECD,SURWIDTH,SHLDTYPE,SHLDTYP2,SHLDTYP3,SLDWIDTH,SHLDWTH2,SHLDWTH3,MEDWIDTH,HRZDGCRV,MAXSPEED,TYPEPARK,SECTADT,AVGTFACT,SKTRESNM,V1_MOST_HARM_EVNT_CD,V1_HARM_EVNT_SQ01_CD,V1_VHCL_BDY_TYP_CD,V1_VHCL_SPCL_FNC_CD,V1_CMRC_USE_CD,V1_CMRC_VEH_CNFIG_CD,V1_CARY_BDY_TYP_CD,V1_CMRC_VEH_WT_CD,V1_POINTIMP,V1_VHCL_MOVE_CD,V1_TRAVDIR,V1_FRST_DR_ACTN_CD,V1_AGE3,V1_SUSP_ALC_USE_CD,V1_SUSP_DRUG_USE_CD,V2_MOST_HARM_EVNT_CD,V2_HARM_EVNT_SQ01_CD,V2_VHCL_BDY_TYP_CD,V2_VHCL_SPCL_FNC_CD,V2_CMRC_USE_CD,V2_CMRC_VEH_CNFIG_CD,V2_CARY_BDY_TYP_CD,V2_CMRC_VEH_WT_CD,V2_POINTIMP,V2_VHCL_MOVE_CD,V2_TRAVDIR,V2_FRST_DR_ACTN_CD,V2_AGE3,V2_SUSP_ALC_USE_CD,V2_SUSP_DRUG_USE_CD,TOT_CRSH_DMG_AMT,TOT_VHCL_DMG_AMT,TOT_PROP_DMG_AMT,TOT_OF_PERS_NUM,TOT_OF_DR_NUM,TOT_OF_VHCL_NUM,TOT_OF_FATL_NUM,TOT_OF_INJR_NUM,TOTSEVREINJ_NUM,TOTNONTRAFFATL_NUM,TOT_OF_PEDST_NUM,TOTOF_PEDLCYCL_NUM,EVNT_LAT_NUM,EVNT_LONG_NUM,CAR_LAT_NUM,CAR_LONG_NUM,RUN.DATE,RUN.TIME,OPT,PROGRAM,Vehicle_code
809804620,2011,2/2/2011,1235,3,1,16,16000000,0,NA,0,  ,NA,"""SR 559                                            ""","""                                                  """,0,FT,NA,        ,        ,5,30,"""0530                            """,2,1,1,14,3,8,1,1,U,U,9,3,1,1,1,2,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,      ,   ,NA,NA,0,0,14,14,20,1,1,6,77,4,4,4,E,4,39,1,1,0,15,20,1,1,6,77,3,21,8,0,  ,   ,  ,  ,400,400,0,1,1,2,0,0,0,0,0,0,0,0,0,0,8/28/2017,10:41:56,1,CARPJ126,V1
809805620,2011,8/2/2011,1654,2,1,16,16020000,10.707,845,0,  ,NA,"""us highway 92                                     ""","""main street                                       """,0,FT,NA,SR  600 ,US   92 ,5,30,"""Auburndale                      """,2,1,1,14,4,1,1,88,R,3,2,3,2,1,1,2,1,1,0,0,0,0,1,0,0,1,0,0,5,5,0,6,14,30,3,65,36,6,NA,NA,2,0,0,17,      ,45,1,30000,6.13,33,0,14,20,1,0,4,3,3,2,3,S,25,23,1,1,0,14,1,1,0,0,0,4,11,3,S,1,57,1,1,550,550,0,2,2,2,0,0,0,0,0,0,0,0,28.0587831,81.7884356,8/28/2017,10:41:56,1,CARPJ126,V1
815237690,2011,3/28/2011,0,1,1,16,16000000,0,NA,0,  ,NA,"""STATE ROAD 544                                    ""","""                                                  """,0,FT,N,        ,        ,5,62,"""                                """,2,1,1,14,1,1,1,1,U,U,3,3,77,2,1,3,1,1,0,0,0,0,1,0,0,2,0,0,10,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,      ,   ,NA,NA,0,0,0,14,20,1,2,6,3,3,0,77,S,77,46,1,1,0,14,1,1,0,0,0,0,0,13,N,1,49,1,1,2000,2000,0,2,2,2,0,0,0,0,0,0,0,0,0,0,8/28/2017,10:41:56,1,CARPJ126,V1
816966220,2011,3/31/2011,2000,4,1,16,16180000,2.904,3606,0.057,MI,S,"""HIGHWAY 27                                        ""","""TOWER VIEW BLVD.                                  """,300,FT,S,SR   25 ,US   27 ,5,54,"""0554                            """,2,1,1,14,4,1,1,1,R,2,2,2,1,2,5,3,1,1,0,0,0,0,1,0,0,2,1,0,1,1,0,5,14,33,3,1160,36,1,3,NA,5,7,0,42,      ,60,1,32000,10.9,33,14,14,20,1,1,6,1,3,2,6,N,3,49,1,1,14,14,1,1,0,0,0,4,9,1,N,1,46,1,1,1000,1000,0,2,2,2,0,0,0,0,0,0,0,0,27.938216,81.6118462,8/28/2017,10:41:56,1,CARPJ126,V1
816968110,2011,12/12/2011,1247,1,1,16,16110000,28.69,1217,0.006,MI,W,"""STATE ROAD 60                                     ""","""CENTRAL AVENUE                                    """,30,FT,W,SR   60 ,        ,5,54,"""LAKE WALES                      """,2,2,1,14,1,1,17,1,L,1,3,1,1,1,1,2,1,1,0,0,0,0,77,1,0,77,1,0,9,9,0,5,14,23,3,NA,24,1,3,NA,5,7,0,41,3D30  ,55,1,23000,19.77,33,9,9,20,1,1,6,77,1,1,1,W,10,62,1,1,9,9,1,1,0,0,0,4,7,13,W,77,57,1,1,3300,3300,0,2,2,2,0,1,0,0,0,0,0,0,27.9031796,81.6101045,8/28/2017,10:41:56,1,CARPJ126,V1
816969240,2011,8/3/2011,1520,3,1,16,16110012,0,1222,0,  ,NA,"""HWY 27                                            ""","""                                                  """,0,FT,NA,SR   60 ,        ,5,54,"""Lake Wales                      """,2,1,1,14,1,1,14,2,L,X,3,1,1,2,1,3,1,1,0,0,0,0,77,10,1,2,1,0,7,7,0,NA,NA,8,NA,NA,15,3,6,NA,4,2,0,NA,      ,   ,NA,NA,0,0,14,14,20,1,2,2,11,4,13,17,W,10,40,1,1,14,14,16,1,0,0,0,4,9,17,E,1,18,1,1,2500,2500,0,4,2,2,0,0,0,0,0,0,0,0,27.8979076,81.6008228,8/28/2017,10:41:56,1,CARPJ126,V1
816976740,2011,3/28/2011,1551,1,1,16,16000000,0,NA,0,  ,NA,"""E MEMORIAL BLVD PARKING LOT                       ""","""                                                  """,0,FT,NA,        ,        ,5,52,"""LAKELAND                        """,2,1,2,14,3,2,88,1,U,U,9,1,1,2,1,3,1,1,0,0,0,0,1,0,0,1,0,0,1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,      ,   ,NA,NA,0,0,14,14,20,1,0,0,0,0,2,1,W,2,28,1,1,NA,  ,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,   ,  ,  ,1000,500,500,1,1,1,0,0,0,0,0,0,0,0,0,0,8/28/2017,10:41:56,1,CARPJ126,V1
816977210,2011,1/6/2011,820,4,1,16,16000000,0,NA,0,  ,NA,"""NORTH ROAD 98                                     ""","""                                                  """,0,FT,NA,        ,        ,5,52,"""LAKELAND                        """,2,1,1,14,3,1,4,1,U,U,3,3,1,2,1,3,1,1,0,0,0,0,1,0,0,1,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,      ,   ,NA,NA,0,0,14,14,20,1,3,77,11,3,13,17,S,25,50,1,1,14,14,2,1,0,0,0,0,6,1,S,1,30,1,1,4050,4050,0,2,2,2,0,0,0,0,0,0,0,0,0,0,8/28/2017,10:41:56,1,CARPJ126,V1
816981310,2011,7/7/2011,659,4,1,16,16210000,2.678,574,0,  ,NA,"""GRIFFIN ROAD                                      ""","""US 98 N                                           """,30,FT,E,SR   35 ,US   98 ,5,52,"""LAKELAND                        """,2,2,1,14,1,1,1,1,S,1,5,3,1,1,1,2,1,1,0,0,0,0,1,0,0,1,0,0,1,5,0,6,14,23,3,1140,26,1,NA,NA,4,0,0,18,      ,45,1,39500,3.53,35,14,14,20,1,2,6,7,3,1,1,W,2,65,1,1,14,14,1,1,0,0,0,0,8,13,W,1,40,1,1,1600,1600,0,3,2,2,0,1,0,0,0,0,0,0,28.080611,81.9654369,8/28/2017,10:41:56,1,CARPJ126,V1
819547210,2011,3/1/2011,1126,2,1,16,16210000,7.652,602,0.009,MI,N,"""US 98 E                                           ""","""BANANA RD                                         """,50,FT,N,SR   35 ,US   98 ,5,0,"""                                """,1,1,1,4,77,1,1,1,M,M,2,2,1,2,1,3,1,1,0,0,0,0,1,0,0,2,0,0,1,NA,0,6,14,23,3,NA,24,1,3,NA,5,7,0,42,      ,55,1,37500,8.22,35,4,4,20,1,1,6,8,3,6,1,S,2,57,1,1,NA,  ,NA,NA,NA,NA,NA,NA,NA,NA,NA,  ,   ,  ,  ,8000,8000,0,1,1,1,0,0,0,0,0,0,28.150445,81.9746166,28.150339,81.9735887,8/28/2017,10:41:56,1,CARPJ126,V1
